
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.312000	 7.770E-04	 4.787E-04	-1.082E-08
       0.314000	 7.853E-04	 4.818E-04	-1.104E-08
       0.316000	 7.937E-04	 4.849E-04	-1.126E-08
       0.318000	 8.020E-04	 4.879E-04	-1.148E-08
       0.320000	 8.103E-04	 4.909E-04	-1.170E-08
       0.322000	 8.186E-04	 4.938E-04	-1.192E-08
       0.324000	 8.269E-04	 4.967E-04	-1.215E-08
       0.326000	 8.351E-04	 4.995E-04	-1.237E-08
       0.328000	 8.434E-04	 5.023E-04	-1.260E-08
       0.330000	 8.516E-04	 5.050E-04	-1.283E-08
       0.332000	 8.598E-04	 5.077E-04	-1.306E-08
       0.334000	 8.679E-04	 5.104E-04	-1.328E-08
       0.336000	 8.760E-04	 5.130E-04	-1.351E-08
       0.338000	 8.841E-04	 5.156E-04	-1.375E-08
       0.340000	 8.922E-04	 5.182E-04	-1.398E-08
       0.342000	 9.003E-04	 5.207E-04	-1.421E-08
       0.344000	 9.083E-04	 5.232E-04	-1.445E-08
       0.346000	 9.164E-04	 5.257E-04	-1.468E-08
       0.348000	 9.244E-04	 5.282E-04	-1.492E-08
       0.350000	 9.324E-04	 5.306E-04	-1.515E-08
       0.352000	 9.403E-04	 5.330E-04	-1.539E-08
       0.354000	 9.483E-04	 5.354E-04	-1.563E-08
       0.356000	 9.562E-04	 5.378E-04	-1.588E-08
       0.358000	 9.641E-04	 5.401E-04	-1.612E-08
       0.360000	 9.721E-04	 5.424E-04	-1.636E-08
       0.362000	 9.800E-04	 5.447E-04	-1.661E-08
       0.364000	 9.879E-04	 5.470E-04	-1.686E-08
       0.366000	 9.958E-04	 5.492E-04	-1.710E-08
       0.368000	 1.004E-03	 5.514E-04	-1.736E-08
       0.370000	 1.012E-03	 5.536E-04	-1.761E-08
       0.372000	 1.020E-03	 5.557E-04	-1.786E-08
       0.374000	 1.027E-03	 5.578E-04	-1.812E-08
       0.376000	 1.035E-03	 5.599E-04	-1.838E-08
       0.378000	 1.043E-03	 5.619E-04	-1.864E-08
