
Predictions were generated on 11-Sep-2021 at 11:53:05 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.512000	 7.831E+00	 6.409E+00	-1.462E+00
       0.514000	 7.860E+00	 6.397E+00	-1.468E+00
       0.516000	 7.888E+00	 6.385E+00	-1.474E+00
       0.518000	 7.915E+00	 6.372E+00	-1.479E+00
       0.520000	 7.942E+00	 6.359E+00	-1.485E+00
       0.522000	 7.969E+00	 6.344E+00	-1.490E+00
       0.524000	 7.995E+00	 6.329E+00	-1.495E+00
       0.526000	 8.021E+00	 6.313E+00	-1.500E+00
       0.528000	 8.047E+00	 6.297E+00	-1.504E+00
       0.530000	 8.072E+00	 6.279E+00	-1.509E+00
       0.532000	 8.096E+00	 6.261E+00	-1.513E+00
       0.534000	 8.121E+00	 6.242E+00	-1.517E+00
       0.536000	 8.145E+00	 6.222E+00	-1.520E+00
       0.538000	 8.168E+00	 6.202E+00	-1.523E+00
       0.540000	 8.192E+00	 6.180E+00	-1.527E+00
       0.542000	 8.215E+00	 6.158E+00	-1.530E+00
       0.544000	 8.237E+00	 6.135E+00	-1.532E+00
       0.546000	 8.260E+00	 6.112E+00	-1.535E+00
       0.548000	 8.282E+00	 6.087E+00	-1.537E+00
       0.550000	 8.304E+00	 6.063E+00	-1.540E+00
       0.552000	 8.325E+00	 6.037E+00	-1.542E+00
       0.554000	 8.346E+00	 6.011E+00	-1.543E+00
       0.556000	 8.367E+00	 5.984E+00	-1.545E+00
       0.558000	 8.388E+00	 5.956E+00	-1.547E+00
       0.560000	 8.408E+00	 5.928E+00	-1.548E+00
       0.562000	 8.428E+00	 5.899E+00	-1.549E+00
       0.564000	 8.448E+00	 5.870E+00	-1.550E+00
       0.566000	 8.468E+00	 5.840E+00	-1.551E+00
       0.568000	 8.487E+00	 5.810E+00	-1.552E+00
       0.570000	 8.506E+00	 5.780E+00	-1.553E+00
       0.572000	 8.524E+00	 5.748E+00	-1.553E+00
       0.574000	 8.543E+00	 5.717E+00	-1.553E+00
       0.576000	 8.560E+00	 5.685E+00	-1.554E+00
       0.578000	 8.578E+00	 5.652E+00	-1.554E+00
       0.580000	 8.595E+00	 5.619E+00	-1.554E+00
       0.582000	 8.612E+00	 5.586E+00	-1.553E+00
       0.584000	 8.628E+00	 5.552E+00	-1.553E+00
       0.586000	 8.645E+00	 5.518E+00	-1.553E+00
       0.588000	 8.660E+00	 5.484E+00	-1.552E+00
       0.590000	 8.676E+00	 5.449E+00	-1.551E+00
       0.592000	 8.690E+00	 5.414E+00	-1.550E+00
       0.594000	 8.705E+00	 5.378E+00	-1.549E+00
       0.596000	 8.719E+00	 5.342E+00	-1.548E+00
       0.598000	 8.733E+00	 5.306E+00	-1.546E+00
       0.600000	 8.746E+00	 5.270E+00	-1.545E+00
       0.602000	 8.759E+00	 5.232E+00	-1.543E+00
       0.604000	 8.771E+00	 5.195E+00	-1.541E+00
       0.606000	 8.783E+00	 5.157E+00	-1.539E+00
       0.608000	 8.795E+00	 5.119E+00	-1.537E+00
       0.610000	 8.806E+00	 5.080E+00	-1.534E+00
       0.612000	 8.817E+00	 5.041E+00	-1.532E+00
       0.614000	 8.827E+00	 5.002E+00	-1.529E+00
       0.616000	 8.837E+00	 4.962E+00	-1.526E+00
       0.618000	 8.846E+00	 4.921E+00	-1.523E+00
       0.620000	 8.855E+00	 4.880E+00	-1.519E+00
       0.622000	 8.863E+00	 4.839E+00	-1.516E+00
       0.624000	 8.871E+00	 4.797E+00	-1.512E+00
       0.626000	 8.879E+00	 4.755E+00	-1.508E+00
       0.628000	 8.886E+00	 4.712E+00	-1.504E+00
       0.630000	 8.892E+00	 4.669E+00	-1.500E+00
       0.632000	 8.898E+00	 4.625E+00	-1.495E+00
       0.634000	 8.903E+00	 4.581E+00	-1.490E+00
       0.636000	 8.908E+00	 4.536E+00	-1.485E+00
       0.638000	 8.912E+00	 4.491E+00	-1.480E+00
       0.640000	 8.916E+00	 4.445E+00	-1.475E+00
       0.642000	 8.919E+00	 4.398E+00	-1.469E+00
       0.644000	 8.922E+00	 4.352E+00	-1.463E+00
       0.646000	 8.924E+00	 4.305E+00	-1.457E+00
       0.648000	 8.925E+00	 4.257E+00	-1.451E+00
       0.650000	 8.926E+00	 4.209E+00	-1.444E+00
       0.652000	 8.926E+00	 4.160E+00	-1.438E+00
       0.654000	 8.926E+00	 4.111E+00	-1.431E+00
       0.656000	 8.925E+00	 4.062E+00	-1.424E+00
       0.658000	 8.923E+00	 4.012E+00	-1.416E+00
       0.660000	 8.921E+00	 3.962E+00	-1.409E+00
       0.662000	 8.918E+00	 3.912E+00	-1.401E+00
       0.664000	 8.914E+00	 3.861E+00	-1.393E+00
       0.666000	 8.910E+00	 3.810E+00	-1.385E+00
       0.668000	 8.906E+00	 3.759E+00	-1.377E+00
       0.670000	 8.900E+00	 3.708E+00	-1.369E+00
       0.672000	 8.894E+00	 3.656E+00	-1.360E+00
       0.674000	 8.887E+00	 3.605E+00	-1.352E+00
       0.676000	 8.880E+00	 3.553E+00	-1.343E+00
       0.678000	 8.872E+00	 3.501E+00	-1.334E+00
       0.680000	 8.864E+00	 3.449E+00	-1.325E+00
       0.682000	 8.855E+00	 3.397E+00	-1.316E+00
       0.684000	 8.845E+00	 3.345E+00	-1.306E+00
       0.686000	 8.835E+00	 3.293E+00	-1.297E+00
       0.688000	 8.824E+00	 3.241E+00	-1.287E+00
