
Predictions were generated on 05-Jul-2022 at 09:41:03 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.748000	 1.963E-01	-1.977E-02	-5.387E-04
       0.752000	 1.960E-01	-1.985E-02	-5.369E-04
       0.756000	 1.956E-01	-1.992E-02	-5.350E-04
       0.760000	 1.953E-01	-1.999E-02	-5.329E-04
       0.764000	 1.949E-01	-2.005E-02	-5.306E-04
       0.768000	 1.944E-01	-2.011E-02	-5.282E-04
       0.772000	 1.940E-01	-2.016E-02	-5.258E-04
       0.776000	 1.935E-01	-2.021E-02	-5.231E-04
       0.780000	 1.930E-01	-2.026E-02	-5.204E-04
       0.784000	 1.925E-01	-2.029E-02	-5.177E-04
       0.788000	 1.920E-01	-2.033E-02	-5.148E-04
       0.792000	 1.915E-01	-2.036E-02	-5.119E-04
       0.796000	 1.909E-01	-2.038E-02	-5.089E-04
       0.800000	 1.903E-01	-2.040E-02	-5.058E-04
       0.804000	 1.897E-01	-2.041E-02	-5.028E-04
       0.808000	 1.891E-01	-2.042E-02	-4.996E-04
       0.812000	 1.885E-01	-2.043E-02	-4.965E-04
       0.816000	 1.878E-01	-2.043E-02	-4.933E-04
       0.820000	 1.872E-01	-2.042E-02	-4.901E-04
       0.824000	 1.865E-01	-2.041E-02	-4.868E-04
       0.828000	 1.859E-01	-2.040E-02	-4.836E-04
       0.832000	 1.852E-01	-2.038E-02	-4.803E-04
       0.836000	 1.845E-01	-2.035E-02	-4.769E-04
       0.840000	 1.838E-01	-2.032E-02	-4.735E-04
       0.844000	 1.830E-01	-2.029E-02	-4.701E-04
       0.848000	 1.823E-01	-2.025E-02	-4.667E-04
       0.852000	 1.815E-01	-2.020E-02	-4.632E-04
       0.856000	 1.808E-01	-2.015E-02	-4.596E-04
       0.860000	 1.800E-01	-2.010E-02	-4.560E-04
       0.864000	 1.792E-01	-2.004E-02	-4.523E-04
       0.868000	 1.783E-01	-1.997E-02	-4.485E-04
       0.872000	 1.775E-01	-1.990E-02	-4.446E-04
       0.876000	 1.766E-01	-1.982E-02	-4.406E-04
       0.880000	 1.757E-01	-1.974E-02	-4.364E-04
       0.884000	 1.747E-01	-1.965E-02	-4.322E-04
       0.888000	 1.738E-01	-1.955E-02	-4.278E-04
       0.892000	 1.728E-01	-1.945E-02	-4.233E-04
       0.896000	 1.718E-01	-1.934E-02	-4.186E-04
       0.900000	 1.707E-01	-1.923E-02	-4.138E-04
       0.904000	 1.696E-01	-1.911E-02	-4.089E-04
       0.908000	 1.685E-01	-1.899E-02	-4.038E-04
       0.912000	 1.674E-01	-1.886E-02	-3.985E-04
       0.916000	 1.662E-01	-1.872E-02	-3.931E-04
       0.920000	 1.649E-01	-1.858E-02	-3.875E-04
       0.924000	 1.637E-01	-1.843E-02	-3.818E-04
       0.928000	 1.624E-01	-1.828E-02	-3.759E-04
       0.932000	 1.611E-01	-1.812E-02	-3.700E-04
       0.936000	 1.597E-01	-1.795E-02	-3.638E-04
       0.940000	 1.584E-01	-1.778E-02	-3.576E-04
       0.944000	 1.569E-01	-1.761E-02	-3.513E-04
       0.948000	 1.555E-01	-1.742E-02	-3.448E-04
       0.952000	 1.540E-01	-1.724E-02	-3.383E-04
       0.956000	 1.525E-01	-1.705E-02	-3.317E-04
       0.960000	 1.510E-01	-1.685E-02	-3.251E-04
       0.964000	 1.495E-01	-1.665E-02	-3.184E-04
       0.968000	 1.479E-01	-1.644E-02	-3.117E-04
       0.972000	 1.463E-01	-1.623E-02	-3.049E-04
       0.976000	 1.447E-01	-1.601E-02	-2.981E-04
       0.980000	 1.431E-01	-1.579E-02	-2.914E-04
       0.984000	 1.415E-01	-1.557E-02	-2.846E-04
       0.988000	 1.399E-01	-1.534E-02	-2.779E-04
       0.992000	 1.382E-01	-1.511E-02	-2.712E-04
       0.996000	 1.365E-01	-1.487E-02	-2.646E-04
       1.000000	 1.349E-01	-1.463E-02	-2.580E-04
       1.004000	 1.332E-01	-1.439E-02	-2.514E-04
